Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
Jagger Haynes,SDP,AA,23,94.2,8.080986783845583,3.8978877427961045,2.07317073,0.8556338947601205,0.21197007,0.10224439,0.10972569,0.22701149,1.2676057700149934,0.27559055,0.70351759,4.278169473800602,4.770417759556132,-0.4922482857555295,5.213788347103977,sa3020876
Jackson Cox,COL,"A+,AA",22,86.1,12.09266480509429,3.961390194772268,3.05263158,1.4594595454424144,0.31182796,0.10215054,0.20967742,0.2293578,1.3088803859920066,0.30964467,0.76693227,4.2741315259384995,4.621490132580514,-0.3473586066420147,4.232046801406683,sa3020899
Henry Williams,KCR,"AA,AAA",24,82.1,7.433198839763616,4.591093401030469,1.61904762,1.858299709940904,0.18085106,0.11170213,0.06914894,0.26993865,1.5789474659628595,0.29460581,0.70052539,6.012146120397042,6.435632954566346,-0.4234868341693039,6.0040641233654135,sa3020901
Hunter Patteson,KCR,AA,26,74.1,7.385650729578863,4.843049658740238,1.525,2.0582961049646014,0.18769231,0.12307692,0.06461538,0.2455516,1.4663678133407945,0.25615764,0.78475336,4.721973417271732,6.758322860401208,-2.0363494431294757,6.47833379180293,sa3020954
Gary Gill Hill,TBR,"A+,AA",21,90.1,7.0738011363012525,2.092251040314455,3.38095238,1.3948340268763033,0.18393782,0.05440415,0.12953368,0.2849162,1.361623692903058,0.32234432,0.73369565,4.383764084468382,4.961555459246432,-0.5777913747780499,4.910519110040191,sa3020972
Jesus Tillero,LAD,A,20,73,8.26027397260274,3.5753424657534247,2.31034483,0.9863013698630136,0.2,0.08656716,0.11343284,0.29139073,1.6027397260273972,0.35242291,0.57377049,6.410958904109589,5.460270386526029,0.9506885175835595,5.427851979536554,sa3021010
Darwin Rodriguez,KCR,A,22,78.2,8.580509584137168,3.2033902447445426,2.67857143,0.3432203833654867,0.22123894,0.08259587,0.13864307,0.26072607,1.3601696674113732,0.33777778,0.66787004,3.889831011475516,3.5744191427540413,0.31541186872147486,4.278514966159462,sa3021497
Gage Stanifer,TOR,AA,22,72.2,11.766056692988782,5.077982362237264,2.31707317,1.3623855118197536,0.29411765,0.12693498,0.16718266,0.23571429,1.4724772703506428,0.31609195,0.72649573,4.334862992153761,4.709331371194056,-0.3744683790402945,4.30286214610013,sa3021731
Randry De Leon,SFG,DSL,20,26.2,10.462498752772957,3.7124995574355655,2.81818182,1.3499998390674783,0.26956522,0.09565217,0.17391304,0.28712871,1.499999821186087,0.37878788,0.64171123,6.412499235570522,5.714314222335833,0.6981850132346885,4.528365231586145,sa3022025
Walter Ford,SEA,A+,21,72,5.625,1.75,3.21428571,2.625,0.13803681,0.04294479,0.09509202,0.32580645,1.5972222222222223,0.32786885,0.65068493,6.625,6.87666514714559,-0.25166514714558996,5.398966218779485,sa3022190
Alvin Veras,OAK,DSL,20,29.2,5.157302818158737,2.123595278065362,2.42857143,0.606741508018675,0.13492063,0.05555556,0.07936508,0.24786325,1.21348301603735,0.2755102,0.59659091,4.247190556130724,5.154763734962231,-0.9075731788315062,5.239861447213384,sa3022216
Ashton Izzi,ARI,AA,22,83,7.9156626506024095,2.2771084337349397,3.47619048,1.3012048192771084,0.21407625,0.06158358,0.15249267,0.27444795,1.3012048192771084,0.32327586,0.7537155,4.228915662650603,4.638651136605136,-0.4097354739545338,4.792693581279502,sa3022230
Bryson Hammer,COL,A+,24,71,10.014084507042254,3.9295774647887325,2.5483871,0.6338028169014085,0.24534161,0.09627329,0.14906832,0.27017544,1.5211267605633803,0.35820896,0.6635514,4.943661971830986,3.921852940572819,1.021809031258167,4.257858027202982,sa3022664
Lucas Braun,ATL,"AA,AAA",24,80.1,8.066389211575046,2.4647300368701535,3.27272727,0.6721991009645872,0.2111437,0.06451613,0.14662757,0.26984127,1.3319500704298304,0.33333333,0.73099415,3.8091282387993277,3.730272654320396,0.07885558447893182,4.535888121008571,sa3022996
Ryan Hawks,SEA,AA,25,70.2,7.1320764983665175,3.948113775881465,1.80645161,1.273585088994021,0.17665615,0.0977918,0.07886435,0.27797834,1.5283021067928253,0.31753555,0.69902913,5.731132900473095,5.603529799167053,0.12760310130604147,5.708014226815956,sa3022999
